CAMPAIGN ID,Name,Link,PRIORITY,Start Date,End Date
7623256392195901197,Dezi,https://affiliate-us.tiktok.com/api/v1/share/AJP1KrRvG2Qj,Other,3/24/2026,8/1/2026
7623256392196081421,Dezi Skin,https://affiliate-us.tiktok.com/api/v1/share/AJP1LZun0JFf,Other,3/24/2026,8/1/2026
TABOOST007,Tech / Office Q3,https://affiliate-us.tiktok.com/api/v1/share/AJP1QZPqQsFS,Other,7/5/2025,8/1/2026
7540292431914862391,ChicMe PJs,https://affiliate-us.tiktok.com/api/v1/share/AJP1EzghITaX,Other,8/19/2025,8/14/2026
7503971111379044138,Anua,https://affiliate-us.tiktok.com/api/v1/share/AImam29HGHC9,Other,5/13/2025,9/30/2026
7481310509762807595,APRILSKIN,https://affiliate-us.tiktok.com/api/v1/share/AJ5TlTcfCu4k,Other,3/13/2025,9/30/2026
7620585725516187406,Arrae,https://affiliate-us.tiktok.com/api/v1/share/AJOvE9FGR2oG,Other,3/23/2026,9/30/2026
7558567210550888247,Bask and Lather,https://affiliate-us.tiktok.com/api/v1/share/AJOupEZWGT0G,Other,10/7/2025,9/30/2026
TABOOST020,Beauty 2026,https://affiliate-us.tiktok.com/api/v1/share/AJOJPyLDulG5,Other,1/1/2026,9/30/2026
7472934965693990699,Beauty of Joseon,https://affiliate-us.tiktok.com/api/v1/share/AJYOSZrLPbzX,Other,2/18/2025,9/30/2026
TABOOST009,Beauty Q4,https://affiliate-us.tiktok.com/api/v1/share/AJP1VMHwfnJD,Other,10/14/2025,9/30/2026
7536009696122652430,Cata-Kor,https://affiliate-us.tiktok.com/api/v1/share/AJYOTBPUoN6I,Other,8/7/2025,9/30/2026
7522983523147024183,Catrice,https://affiliate-us.tiktok.com/api/v1/share/AImdF8JU1BnC,Other,7/3/2025,9/30/2026
7541262390878652174,Cider,https://affiliate-us.tiktok.com/api/v1/share/AJOuQvQGvOe6,Other,8/22/2025,9/30/2026
7517034586092357389,ColourPop 1,https://affiliate-us.tiktok.com/api/v1/share/AJYORRUhCSRI,- Featured -,6/17/2025,9/30/2026
TABOOST003,ColourPop 2,https://affiliate-us.tiktok.com/api/v1/share/AJYOSrECJ98F,- Featured -,6/17/2025,9/30/2026
7558513652259014413,ColourPop 2026,https://affiliate-us.tiktok.com/api/v1/share/AJOuipDJ6aFl,- Featured -,10/7/2025,9/30/2026
7611290223394866958,COSRX,https://affiliate-us.tiktok.com/api/v1/share/AJJvQbF929mm,Other,2/26/2026,9/30/2026
7485531342958200619,Costway,https://affiliate-us.tiktok.com/api/v1/share/AJ5tIVcvjmNB,Other,3/24/2025,9/30/2026
7459877397434042158,Crocs,https://affiliate-us.tiktok.com/api/v1/share/AJYORcnHPdAU,Other,1/14/2025,9/30/2026
7503992558582843178,CUPSHE,https://affiliate-us.tiktok.com/api/v1/share/AJYORhIt85I2,Other,5/13/2025,9/30/2026
7515085339021494062,DIFF Eyewear,https://affiliate-us.tiktok.com/api/v1/share/AJOthOdA4Um2,Other,6/12/2025,9/30/2026
7468086459283785515,Dossier,https://affiliate-us.tiktok.com/api/v1/share/AJLv4GETeWvM,Other,2/5/2025,9/30/2026
7561503047819314999,Dr.Melaxin Global,https://affiliate-us.tiktok.com/api/v1/share/AJYORlkeQzIz,- Featured -,10/15/2025,9/30/2026
7525216997775410957,essence,https://affiliate-us.tiktok.com/api/v1/share/AImdEV0TRwH7,Other,7/9/2025,9/30/2026
7555979052420220685,EVALESS,https://affiliate-us.tiktok.com/api/v1/share/AJOue62wg0Ov,Other,9/30/2025,9/30/2026
7572694956437079863,EVELLYHOOTD,https://affiliate-us.tiktok.com/api/v1/share/AJOuwhk045Qy,- Featured -,11/14/2025,9/30/2026
7615393063691241246,Faiable,https://affiliate-us.tiktok.com/api/v1/share/AJJvOe5tWv7N,Other,3/9/2026,9/30/2026
TABOOST011,Fanttik,https://affiliate-us.tiktok.com/api/v1/share/AJP1alJdzb7M,Other,10/14/2025,9/30/2026
7608282472586037006,Farmacy,https://affiliate-us.tiktok.com/api/v1/share/AJOv8wKiPYSu,Other,2/18/2026,9/30/2026
TABOOST024,Fashion 2 2026,https://affiliate-us.tiktok.com/api/v1/share/AJKTQp8uAA9N,Other,1/1/2026,9/30/2026
TABOOST021,Fashion 2026,https://affiliate-us.tiktok.com/api/v1/share/AJOJvkLxqtHe,Other,1/1/2026,9/30/2026
TABOOST010,Fashion Q4,https://affiliate-us.tiktok.com/api/v1/share/AJP1VwtwmPm9,Other,10/14/2025,9/30/2026
7494174595847964462,Fenty,https://affiliate-us.tiktok.com/api/v1/share/AJYOT3M5WXyL,- Featured -,4/17/2025,9/30/2026
7621025156525573902,Finnsul,https://affiliate-us.tiktok.com/api/v1/share/AJLKRjnHCz4m,Other,3/24/2026,9/30/2026
7560646603628824334,Fitory,https://affiliate-us.tiktok.com/api/v1/share/AJOus2dfmZ4k,Other,10/13/2025,9/30/2026
TABOOST023,Fragrance 2026,https://affiliate-us.tiktok.com/api/v1/share/AJLMMpa2rWrZ,Other,1/1/2026,9/30/2026
7571931552955942670,Halara,https://affiliate-us.tiktok.com/api/v1/share/AJYORwUTKq39,- Featured -,11/12/2025,9/30/2026
TABOOST022,Health 2026,https://affiliate-us.tiktok.com/api/v1/share/AJOKCB6XQf6S,Other,1/1/2026,9/30/2026
TABOOST012,Home Q4,https://affiliate-us.tiktok.com/api/v1/share/AJP1byg44ird,Other,10/14/2025,9/30/2026
7543380837217191735,homeika,https://affiliate-us.tiktok.com/api/v1/share/AJOuWpm9qrj6,Other,8/27/2025,9/30/2026
7468433870054278954,Jewelry,https://affiliate-us.tiktok.com/api/v1/share/AJYOU5LFHdIg,Other,2/6/2025,9/30/2026
7387471942794610478,JLab,https://affiliate-us.tiktok.com/api/v1/share/AJOsghdd9nZI,- Featured -,7/3/2024,9/30/2026
7557007310680819511,JOOCYEE,https://affiliate-us.tiktok.com/api/v1/share/AJOHpIVDicqd,Other,10/3/2025,9/30/2026
7559241408026281783,JudyDoll,https://affiliate-us.tiktok.com/api/v1/share/AJOupxA0QqvC,Other,10/9/2025,9/30/2026
7584852913333094157,Lemme,https://affiliate-us.tiktok.com/api/v1/share/AJIWbmihofOF,- Featured -,12/17/2025,9/30/2026
7515083370353461034,LEVAO,https://affiliate-us.tiktok.com/api/v1/share/AJOtfuvuBbrf,Other,6/12/2025,9/30/2026
7470835549616506666,LOVEVOOK,https://affiliate-us.tiktok.com/api/v1/share/AJ4sWdMjLJIi,Other,2/13/2025,9/30/2026
7545657247088330509,Magcomsen,https://affiliate-us.tiktok.com/api/v1/share/AJOuYWn4SDo5,Other,9/2/2025,9/30/2026
7511443620639016747,Make Up For Ever,https://affiliate-us.tiktok.com/api/v1/share/AImdZxBrXDbV,Other,6/2/2025,9/30/2026
TABOOST025,medicube 2026,https://affiliate-us.tiktok.com/api/v1/share/AJP1rUKfe5QD,Other,1/1/2026,9/30/2026
7574130666121463566,MERACH,https://affiliate-us.tiktok.com/api/v1/share/AJYOU9SZC6Fe,- Featured -,11/18/2025,9/30/2026
7515087951723693866,mixsoon,https://affiliate-us.tiktok.com/api/v1/share/AImamgiGIBjY,Other,6/12/2025,9/30/2026
7556302416360605495,NOBULL,https://affiliate-us.tiktok.com/api/v1/share/AJOujBYT7q6C,- Featured -,10/1/2025,9/30/2026
7479170225822844718,OEAK,https://affiliate-us.tiktok.com/api/v1/share/AJYOUED3TZ5o,Other,3/7/2025,9/30/2026
7429407679239391019,Ole Henriksen,https://affiliate-us.tiktok.com/api/v1/share/AJYOUKG5z9gY,Other,10/24/2024,9/30/2026
7488144117811660587,One/Size Beauty,https://affiliate-us.tiktok.com/api/v1/share/AJYOUQR4AGaz,Other,3/31/2025,9/30/2026
7522217899199727373,OQQ,https://affiliate-us.tiktok.com/api/v1/share/AJYOVKkuKzsB,Other,7/1/2025,9/30/2026
7522978308595599159,OYS,https://affiliate-us.tiktok.com/api/v1/share/AImdDwT3dEFx,Other,7/3/2025,9/30/2026
7532227386732119863,PAVOI,https://affiliate-us.tiktok.com/api/v1/share/AImdDdVGQdPG,- Featured -,7/28/2025,9/30/2026
7603504364066129677,PAVOI Active,https://affiliate-us.tiktok.com/api/v1/share/AJOOeyZYpL1q,Other,2/5/2026,9/30/2026
7535589158338447159,Peach Slices,https://affiliate-us.tiktok.com/api/v1/share/AJOuErk67JMb,Other,8/6/2025,9/30/2026
7595330237195421454,Physician's Choice,https://affiliate-us.tiktok.com/api/v1/share/AJOv5MNRrbnf,Other,1/14/2026,9/30/2026
