Product ID,Product Name,Shop Name,Category,Sale Price,Available Samples,Items Sold,Total Commission Rate,Campaign ID,Campaign Name,%,Rank,Ad %,Rating,VS
1729397279735780001,GO POP+ True Wireless Earbuds with 35+ Hour Playtim...,JLab,Phones & Electronics,$17.49-$22.47,35,"75,371","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 10%-12%
1729397279789519521,Rewind2 Wireless Retro 80s+90s Bluetooth Headphon...,JLab,Phones & Electronics,$22.48,15,"10,579","18%
vs. open collab 10%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 10%
1729397398907425441,Work Buds True Wireless Earbuds with Detachable Boo...,JLab,Phones & Electronics,$62.06,14,790,"18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 10%-12%
1729397398907556513,GO Sport+ True Wireless Earbuds with Integrated Char...,JLab,Phones & Electronics,$24.22,4,"48,822","18%
vs. open collab 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 12%
1729397398970864289,Earplugs Reuseable: JBuds Protect Hearing Protection E...,JLab,Sports & Outdoor,$20.00,20,"1,583","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 10%-12%
1729397399023227553,GO Tones+ True Wireless Bluetooth Earbuds with 35+ H...,JLab,Phones & Electronics,$19.98,39,"144,929","18%
vs. open collab 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 12%
1729397654062338721,GO Work POP Wireless On-Ear Headset - 50+ Hours Pl...,JLab,Phones & Electronics,$27.99,15,653,"18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 10%-12%
1729397658379391649,"Epic Camera 2k/1080p HD USB Webcam, 90° FoV, Auto ...",JLab,Computers & Office Equipment,$74.99,14,15,"18%

Open collab 15% - 20%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 15%-20%
1729400405550338721,JLab GO Work Wireless On-Ear Headset Gen 2 - 55+ Hours U...,,~~~,$40.72,15,"8,535","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 10%-12%
1729403856705393313,"JBuds Mini Earbuds - Smallest Bluetooth Earphones, IP5...",JLab,Phones & Electronics,$29.07,34,"107,309","18%
vs. open collab 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 12%
1729404879411516065,Nightfall Wired Gaming Headset with 3.5mm Cable Pre...,JLab,Phones & Electronics,$34.99,18,"3,721","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 10%-12%
1729406440625377953,Fit Sport Wireless Earbuds Bluetooth 5.0 10+ Hour Batter...,JLab,Phones & Electronics,$29.00,49,158,"18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 10%-12%
1729409074014622369,"Epic Lab Edition ANC Earbuds: Dual Drivers, Hi-Res Audi...",JLab,Phones & Electronics,$145.49,9,875,"18%

Open collab 15% - 20%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 15%-20%
1729418759341445793,"GO POP USB Webcam - 1080p HD Video, 2.1MP, Privac...",JLab,Computers & Office Equipment,$24.24,50,"9,341","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 10%-12%
1729430076387136161,JBuds Lux Active Noise Cancellation Wireless Bluetoot...,JLab,Phones & Electronics,$49.98-$99.90,28,"162,572","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 10%-12%
1729466371048837793,"JBuddies Studio 2 Wired Kids Headphones, On Ear, Kid...",JLab,Phones & Electronics,$19.99,14,195,"18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 10%-12%
1729467251901239969,JBuddies Studio 2 Wireless/Wired Bluetooth Kids Head...,JLab,Phones & Electronics,$24.99,37,274,"18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 10%-12%
1729533600496194209,Flex Open-Ear Clip-On Earbuds 12mm Speakers 21+ Ho...,JLab,Phones & Electronics,$38.79,35,"12,933","18%
vs. open collab 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 12%
1729533602366853793,"JBuds Sport ANC 4 Wireless Earbuds, 60+ Hr Battery, S...",JLab,Phones & Electronics,$48.99,17,925,"18%

Open collab 12% - 15%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 12%-15%
1729576259279229601,"Epic Mechanical Wireless Keyboard: Quiet Tactile Switches, ...",JLab,Computers & Office Equipment,$99.99,13,9,"18%

Open collab 15% - 20%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 15%-20%
1729578006575813281,"Nightfall Wireless Gaming Headset, Flip-to-Mute Rotatin...",JLab,Phones & Electronics,$58.19,14,"1,324","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 10%-12%
1729581243155255969,Epic Work ANC Wireless On-Ear Headset with Quick Mut...,JLab,Phones & Electronics,$90.99,15,404,"18%

Open collab 15% - 20%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 15%-20%
1729627662132744865,JBuds Lux ANC Headphones and GO POP+ Bluetooth Earbud...,JLab,Phones & Electronics,$69.99,2,"8,895","18%

Open collab 12% - 15%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 12%-15%
1729634518035763873,"Epic Sport 3 Active Noise Cancelling Earbuds, 52+ Hr Pl...",JLab,Phones & Electronics,$84.99,43,447,"18%

Open collab 15% - 20%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 15%-20%
1729918193025258145,JBuddies Kids Active Noise Canceling Wireless/Wired H...,JLab,Phones & Electronics,$20.99,11,"1,221","18%

Open collab 10% - 12%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 10%-12%
1729965136548696737,JBuds Lux ANC + GO POP+ Gift Set Audio Headphone Earbu...,JLab,Phones & Electronics,$69.99,1,"6,777","18%

Open collab 12% - 15%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 12%-15%
1730060534481523361,"JBuds Lux ANC & Mini Sage Gift Set, 1 set of Earbuds +...",JLab,Phones & Electronics,$77.58,1,"10,559","18%
vs. open collab 15%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 15%
1730202701144298145,"GO POP ANC Earbuds, IP55, Bluetooth 5.3, 24+ Hr Playt...",JLab,Phones & Electronics,$19.98-$39.48,36,"13,736","18%
vs. open collab 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 12%
1730307664048460449,Go Lux ANC Headphones 40mm Drivers Hybrid ANC 70...,JLab,Phones & Electronics,$34.98,14,"7,288","18%

Open collab 10% - 12%",7387471942794610478,JLab,14%,1,14%,6,vs. open collab 10%-12%
1730308689466987169,JLab Epic Lux Lab Edition ANC Over-Ear Headphones with 3...,,~~~,$145.49,8,336,"18%

Open collab 12% - 15%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 12%-15%
1730704559594705569,JBuds Lux Active Noise Cancelling Headphones & JBud...,JLab,Phones & Electronics,$79.88,0,"2,026","18%

Open collab 12% - 15%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 12%-15%
1730704581613425313,2 Pack: JBuds Lux Active Noise Cancelling Headphones...,JLab,Phones & Electronics,$98.13,12,"1,205","18%

Open collab 12% - 15%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 12%-15%
1730722444213392033,"2 Pack: GO POP+ Bluetooth Earbuds, 35+ Hour Playtime and ...",JLab,Phones & Electronics,$38.78-$39.98,11,"2,564","18%

Open collab 12% - 15%",7387471942794610478,JLab,16%,1,16%,4,vs. open collab 12%-15%
1730883637591380641,Epic 2 Wireless Optical Mouse 1200-2400 DPI 2.4G & ...,JLab,Computers & Office Equipment,$59.99,13,19,"18%

Open collab 15% - 20%",7387471942794610478,JLab,16%,1,16%,3,vs. open collab 15%-20%
1730896749189042849,JBuds Mini Tones Bluetooth 5.3 Earbuds Compact IP55 ...,JLab,Phones & Electronics,$29.07,12,"20,459","18%
vs. open collab 12%",7387471942794610478,JLab,16%,1,16%,5,vs. open collab 12%
