Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
_alanacalvs,Womenswear & Underwear,"$85,794.50",Sports & Outdoor,"$30,264.64",Magic ONESO Mid-low Rise Baggy Jeans Stretchy Wide Leg for Women Distressed Pants Womenswear Bottom 8001 Lady Basic Minimalist Comfortable Denim Tummy Control Curve Hugging Plus Size Regular Size BBL Spring Fashion Daily Outfits #TikTokShopBackToSchool,1729445477031121919,"$31,864.58",【4 Lengths】Magic ONESO Mid-low Rise Baggy BBL Jeans Stretchy Wide Leg Tummy Control Plus Size Regular Size #TikTokShopBackToSchool,1732412928253268991,"$25,122.83","【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 3"" Set",1730762320809595172,"$18,857.49",Comfrt | Cloud Zip Hoodie - Mega | Soft Mega Oversized Zip Up Hoodie For Men & Women,1729417808759264131,"$3,266.88",Maya Knit Maxi Dress - Cream/combo,1732482827725411176,"$2,866.26"
_karina.michelle,Beauty & Personal Care,"$32,716.12",Kitchenware,"$3,949.73",Fenty Skin Butta Drop Body Cream + Body Milk Body Care Hydrating Lotion Duo,1729716038966481710,"$4,824.00",First Class Jetsetter Beauty Bundle Kit - Mini Exclusive Pink or Lilac Suitcase plus Naked Sundays bestselling SPF and Skincare products  (SAVE 40%),1732513464542401408,"$3,977.84",Daily Hydration Glass Bottle,1729507512389243913,"$3,187.99",Never Thirsty Shampoo & Conditioner: Moisturize + Strengthen in One Set,1732436624532803875,"$2,369.46",tarte x FINNSUL flutter & focus set + CC undereye - FREE tartelette tubing black mascara & FINNSUL electrolyte supplement,1732304110560121788,"$1,813.59"
ababyandabulldog,Shoes,"$46,484.71",Sports & Outdoor,"$40,462.17","Tanming Women's Baggy Wide-Leg Pants - Casual, Elastic-Waisted, Bohemian Minimalist Basic Women's Clothes Bottom with Pockets,summerwins,summeroutfits,vacationoutfits,beachoutfits,back to school shopping",1729491434710208659,"$19,538.78",HEYDUDE Delray Clog Suede – Womens Comfortable Slip on Platform Clog,1731467723863921200,"$11,278.15",PAVOI 14K Gold Plated Adjustable Matching Bracelets for Women – Heart Charm and BFF Friendship Styles,1730595722208973320,"$10,889.94",Project Cloud Women's | Women's Knit Clogs | Smart Foam | Lightweight | Non-Slip - Nella,1732521149772436024,"$8,771.81",Birkenstock Suede Clog - Buckley,1729878427130696647,"$7,227.69"
abbey.kline,Beauty & Personal Care,"$33,793.42",Kitchenware,"$3,475.44",tarte glow wardrobe eye & cheek palette - eyeshadow and highlighter makeup,1729570012796261308,"$5,597.23","tarte BB blur tinted moisturizer SPF 30 - instantly brightens, hydrates & smooths your skin",1729584174847071164,"$3,219.21",tarte maracuja juicy multi-stick + brush - double-ended cream blush & bronzer stick,1732418830638027708,"$3,026.07","2-Pcs Halloween Icon Beverage Glass Set, Ghost-Pumpkin Element Hand-Blown Stemless Double Old Fashioned Drinkware with Spill-Reducing Hold, Ghost Icon Style Halloween Home Goods for Boo Basket Fall Gift",1731434701947310826,"$2,226.03",HUELIGHTER Multi-Dimensional Highlighter,1732307682052772635,"$2,033.84"
alexandraarosee,Womenswear & Underwear,"$1,944.51",Baby & Maternity,$364.55,Modal Cotton Foldover Wide-Leg Pants,1732401825526682144,"$1,490.80",Danysu V Neck Cotton Tank Tops with Built-in Shelf Bra Sleeveless Racerback Fitted Basic Cami Shirts campingessentials,1731397819019989366,$347.27,Vitality Cloud II™ Maternity Pant,1732211039095197736,$253.29,MOMANDA Cropped Maternity Tops Summer Short Sleeve Modal Cotton Loose Maternity Tshirts Ultra Soft,1732401819480592928,$111.26,"Tiktok,2 Pcs Professional Wireless Lavalier Lapel Microphone for IPhone, IPad - Cordless Omnidirectional Condenser Recording Mic for vlogging Interview Video Podcast Vlog,Smartphone Accessories Audio Wireless Lavalier Receiver live  streaming",1729571127206843086,$106.93
alexandracaste,Food & Beverages,$40.08,,,Mazapan Powder Bag | 2lb - Powder Mix for Baking Authentic Mexican Recipes,1732476236165911190,$22.19,Don Beto's Beef Jerky - Fuego,1729719309656297668,$17.89,,,,,,,,,
aliciamariecacho,Womenswear & Underwear,$38.74,,,"Women's Solid Square Neck Long Sleeve Compress Shapewear Bodysuit, Casual Comfy Tummy Control Butt Lift Shaper, Ladies Shapewear for All Seasons",1729614179939750063,$38.74,,,,,,,,,,,,
alisammarie,Sports & Outdoor,$768.32,Furniture,$664.38,[Summervibes] Tribesigns 63-Inch Long French Country Style Wooden Sofa Table for Living Room & Entryway Natural Finish Modern Farmhouse Decor with Sturdy MDF Construction & Foot Pads for Stability,1731489542250795771,$664.38,Halara Adjustable Straps Ruched Wide Leg Heathered Casual Jumpsuit with Pockets-Easy Peezy,1732255696408843102,$607.22,"【2026 New Arrivals】Trucozie T550 Cordless Vacuum Cleaner, 40kPa Powerful Suction Smart Stick Vacuum with 50 Mins Runtime, 8-in-1 Lightweight Handheld/Upright Vacuum for Hardwood Floor, Carpet, Pet Hair & Car",1731578192195392132,$556.22,"Hibbent cUPC Certified 13'' High-Pressure Dual Shower Heads Combo with 10-Mode Length-Adjustable Dual-Head Handheld, 5-Spray Upgraded Rainfall, 12'' Extension Arm, 71'' Hose, Chrome Handheld Holder, Dual-Head Handheld Showers,home essentials",1729698100885689065,$246.74,The Mini Discovery Set,1730273546600747017,$244.44
allthings_andrea,Sports & Outdoor,$39.80,,,"Foldable Travel Yoga Mat with Storage Bag, 1 Count Portable Exercise Mat, Fitness Equipment for Home Gym Workout Mat Pilates Home",1729408794300748065,$39.80,,,,,,,,,,,,
alykate97,Fashion Accessories,"$7,439.46",Womenswear & Underwear,"$2,196.61","Tasiso Women's Floating Cubic Zirconia Pendant Necklace on Invisible Transparent Cord, Minimalist Choker Adjustable Length, Everyday Layering Jewelry, For Woman,Gift,summeroutfits,vacationoutfits,beachoutfits,Thick Clear Invisible Fishing Line",1731992960085430403,"$6,048.47",PAVOI 14K Gold Plated Lobe Lifters for Heavy Earrings for Women - Earring Backs for Droopy Ears - Comfortable Earring Backings for Studs - Trendy Fashion Jewelry Accessories,1731648186027250184,"$1,900.53","【2Packages Shipping】Queen/Full Size Murphy Bed with 2 LED Lights, Farmhouse Wood Hidden Foldable Wall Bed Frame w/Gas Struts, Storage Bed Cabinet for Bedroom, Office, Space-Saving, No Box Spring Needed, Rustic White/Brown",1731495075783873003,"$1,880.75",AUSELILY Babydoll Dress for Women Short Sleeve Button Down Textured Non-clingy Loose Fit Flowy Mini Dress with Pockets 2026 New Summer Dress,1732071775099523793,$614.95,Chris McMillan The Glassy Smooth Blowdry Spray,1732274140285538330,$450.69
