Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
_alanacalvs,Womenswear & Underwear,"$90,121.84",Sports & Outdoor,"$75,624.49","【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 3"" Set",1730762320809595172,47302.3,Magic ONESO Mid-low Rise Baggy Jeans Stretchy Wide Leg for Women Distressed Pants Womenswear Bottom 8001 Lady Basic Minimalist Comfortable Denim Tummy Control Curve Hugging Plus Size Regular Size BBL Spring Fashion Daily Outfits,1729445477031121919,"$39,213.84",【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts Set 5''-Longer Length,1730762001521283364,5940.78,【Creator’s Pick】Halara Flex High Waisted Tummy Control Curved Hem Skinny Denim Casual Shorts with Pockets,1732413691125404510,4336.85,Comfrt | Cloud Zip Hoodie | Soft Mega Oversized Zip Up Hoodie For Men & Women,1729417808759264131,4232.92
_karina.michelle,Beauty & Personal Care,"$65,806.58",Kitchenware,"$2,971.83",Too Faced Sexy Eyes Rain or Shine 2.0 Set,1730983990628618524,9720.9,Never Thirsty Shampoo & Conditioner: Moisturize + Strengthen in One Set,1732436624532803875,"$6,187.16",Summer Essentials Terry Pouch,1732466712817668854,3785.48,"3-in-Wonder Styling Cream & Wand Duo: The Set That Styles, Protects & Smooths Frizz - Any Look, Anywhere, Anytime",1732436631579562275,3124.73,tarte x FINNSUL flutter & focus set + CC undereye - FREE tartelette tubing black mascara & FINNSUL electrolyte supplement,1732304110560121788,3044.02
ababyandabulldog,Sports & Outdoor,"$80,033.72",Womenswear & Underwear,"$64,146.76","Tanming Women's Baggy Wide-Leg Pants - Casual, Elastic-Waisted, Bohemian Minimalist Basic Women's Clothes Bottom with Pockets,summerwins,summeroutfits,vacationoutfits,beachoutfits,back to school shopping",1729491434710208659,35595.17,PAVOI 14K Gold Plated Adjustable Matching Bracelets for Women – Heart Charm and BFF Friendship Styles,1730595722208973320,"$12,180.44",【Creator’s Pick】Halara UltraSculpt High Waisted Tummy Control Pocket Shaping Training Capri Leggings,1731269947944768350,11444.04,【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts Set 5''-Longer Length,1730762001521283364,8060.06,Halara UltraSculpt™ High Waisted Butt Lifting Tummy Control Pocket Shaping Workout Leggings,1730069349916840228,6143.84
abbey.kline,Beauty & Personal Care,"$141,828.50",Kitchenware,"$9,191.25",tarte glow wardrobe eye & cheek palette - eyeshadow and highlighter makeup,1729570012796261308,21805.83,On 'Til Dawn Bronze Veil Waterproof Setting Spray,1732455657267630903,"$19,385.43","tarte BB blur tinted moisturizer SPF 30 - instantly brightens, hydrates & smooths your skin",1729584174847071164,13959.08,HUELIGHTER Multi-Dimensional Highlighter,1732307682052772635,10317.53,tarte maracuja juicy multi-stick + brush - double-ended cream blush & bronzer stick,1732418830638027708,9732.75
alexagiacinto,Womenswear & Underwear,$30.80,,,"6-Piece Women's Summer Crop Top & Shorts Set, Seamless Shaping Sportswear For Gym, Strong Support, High Elasticity, Sexy Slim-Fit Style, Bodycon Workout Set, Gym Workout Sets",1732364788095685084,30.8,,,,,,,,,,,,
alexandraarosee,Womenswear & Underwear,"$7,714.32",Baby & Maternity,"$1,080.39",Modal Cotton Foldover Wide-Leg Pants,1732401825526682144,5689,Danysu V Neck Cotton Tank Tops with Built-in Shelf Bra Sleeveless Racerback Fitted Basic Cami Shirts campingessentials,1731397819019989366,"$1,167.79",Vitality Cloud II™ Maternity Pant,1732211039095197736,581.36,MOMANDA Cropped Maternity Tops Summer Short Sleeve Modal Cotton Loose Maternity Tshirts Ultra Soft,1732401819480592928,499.03,"SKY & SOL Face & Body Mineral Sunscreen– Non-Nano Zinc Oxide, Sensitive Skin Safe 3oz",1729478272808882302,377.18
alexandracaste,Phones & Electronics,$25.99,Food & Beverages,$25.80,Missair Love&Luck Band 316L Stainless Steel Compatible with Apple Watch Series 1-11 SE Ultra (38-49mm) – Fashionable Luxury Watchband for iWatch Wearable Accessories,1729533863313379445,25.99,Don Beto's Beef Jerky - Fuego,1729719309656297668,$13.10,NEW LOOK - RED POWDER HOT Beef Jerky - Carne Seca,1729411601718546929,12.7,"LANBENA Blackhead Remover Peel Off Mask V2.0 with 60 Sheets Paper Strip for Face and Nose Deep Cleansing Nose Strips, Skincare Comfort",1729397127030084309,3.69,,,
aliciamariecacho,Womenswear & Underwear,$134.59,,,"Women’s Seamless Shaping Bodysuit – Long Sleeve V-Neck Tummy Control Thong Shapewear, Sculpting Body Suit, Arm Shaper, Lightweight Compression Top, Fashion Nova Style, Body Leggings Look, Spring Wear",1731784970783789181,94.86,"Women's Solid Square Neck Long Sleeve Shapewear Bodysuit, Casual Comfy Tummy Control Butt Lift Shaper, Ladies Shapewear for All Seasons Faja Body Shaper",1729614179939750063,$39.73,,,,,,,,,
alisammarie,Sports & Outdoor,"$1,481.22",Furniture,$893.32,Halara Adjustable Straps Ruched Wide Leg Heathered Casual Jumpsuit with Pockets-Easy Peezy,1732255696408843102,1050.61,"【2026 New Arrivals】Trucozie T550 Cordless Vacuum Cleaner, 40kPa Powerful Suction Smart Stick Vacuum with 50 Mins Runtime, 8-in-1 Lightweight Handheld/Upright Vacuum for Hardwood Floor, Carpet, Pet Hair & Car",1731578192195392132,$593.34,The Mini Discovery Set,1730273546600747017,583.26,Halara U Neck Pocket Harem Casual Jumpsuit-Easy Peezy Edition,1730196177300328740,351.72,[Summervibes] Tribesigns 63-Inch Long French Country Style Wooden Sofa Table for Living Room & Entryway Natural Finish Modern Farmhouse Decor with Sturdy MDF Construction & Foot Pads for Stability,1731489542250795771,328.34
allthings_andrea,Sports & Outdoor,$76.40,,,"Foldable Travel Yoga Mat with Storage Bag, 1 Count Portable Exercise Mat, Fitness Equipment for Home Gym Workout Mat Pilates Home",1729408794300748065,41.22,"NBR Yoga Mat - 8mm Thick, Non-Slip, Eco-Friendly, Odorless, Ideal for Yoga, Pilates, Home Fitness",1732458123710468448,$35.18,,,,,,,,,
